TS14,0.003079937,-1.923512938
TS14,0.008483069,-1.9095541
TS15,0.003248852,-1.995092286
TS15,0.008651773,-1.981440627
TS16,0.003417771,-2.051204351
TS16,0.008862639,-2.029821069
TS17,0.003586687,-2.110061962
TS17,0.00907345,-2.08520116
TS18,0.003797829,-2.242761357
TS18,0.009284319,-2.218431748
TS19,0.004008975,-2.400095578
TS19,0.009452986,-2.377003541
TS20,0.004177903,-2.483739017
TS20,0.009621636,-2.431970294
MU02,0.000920219,-1.470421914
MU02,0.003671725,-1.459185151
MU02,0.006526369,-1.461494196
MU02,0.000601576,-1.481162591
MU02,0.002288819,-1.504253366
MU02,0.00440282,-1.491675611
MU02,0.006519385,-1.474214341
MU03,0.000513885,-0.713601424
MU03,0.003263945,-0.701177869
MU03,0.006220508,-0.694517733
MU03,0.000378063,-0.721974497
MU03,0.002126523,-0.720335301
MU03,0.004158694,-0.732393451
MU03,0.006275116,-0.724850432
MU01,0.001938827,-2.701673316
MU01,0.004793169,-2.707890524
MU01,0.007647865,-2.68088136
MU01,0.001236801,-2.693240396
MU01,0.002938684,-2.720714823
MU01,0.005216746,-2.704902994
MU01,0.007089381,-2.717297762
NK01,0.001327478,-2.256236359
NK01,0.004079516,-2.250489566
NK01,0.006934186,-2.213846612
NK01,0.000757773,-2.255380932
NK01,0.00253241,-2.240879562
NK01,0.004646973,-2.24988782
NK01,0.006682237,-2.260054776
NK02,0.001531224,-2.426292186
NK02,0.004487315,-2.402079242
NK02,0.007240048,-2.398811421
NK02,0.000996109,-2.439771019
NK02,0.002776139,-2.435339261
NK02,0.004891149,-2.455901653
NK02,0.006926521,-2.428910653
NK03,0.002244586,-2.161610462
NK03,0.005099024,-2.163338624
NK03,0.007953728,-2.159103271
NK03,0.001478699,-2.168064966
NK03,0.003182572,-2.174069601
NK03,0.005460963,-2.175565854
NK03,0.007252244,-2.192631016
BS_TN_1,5.9098E-05,0.012173929
BS_TN_1,0.002754243,0.021419203
BS_TN_1,0.005812694,0.02119231
BS_TN_1,0.008565453,0.012254963
BS_TN_1,0.000191737,-0.006640882
BS_TN_1,0.001802266,0.00075905
BS_TN_1,0.003833242,-0.009780507
BS_TN_1,0.006030857,0.002490365
BS_TN_1,0.007822309,-0.00769549
